Start Time,End Time,Number of Responses,Average Value
1531308425777,1531308485776,0,No Readings In TimeRange
1531308485777,1531308545776,3,6.854494141407387
1531308545777,1531308605776,12,5.5054931772956195
1531308605777,1531308665776,14,7.262353485156885
1531308665777,1531308725776,32,6.629517888332006
1531308725777,1531308785776,2942,6.899930768264029
1531308785777,1531308845776,2952,6.905169162665388
1531308845777,1531308905776,2935,6.891856531303149
1531308905777,1531308965776,2940,6.931687355077189
1531308965777,1531309025776,2981,6.905619884412798
1531309025777,1531309085776,2949,6.9426130580330545
1531309085777,1531309145776,2951,6.96361006389071
1531309145777,1531309205776,2948,6.9394901968885065
1531309205777,1531309265776,2936,6.952085073047041
1531309265777,1531309325776,2950,6.933684346829152
1531309325777,1531309385776,2930,6.9777611043550944
1531309385777,1531309445776,2977,6.950820485736343
1531309445777,1531309505776,2954,6.989387463973921
1531309505777,1531309565776,2985,7.00802218760451
1531309565777,1531309625776,2968,7.007285186785272
1531309625777,1531309685776,2963,7.004518171778535
1531309685777,1531309745776,2958,7.006900944767127
1531309745777,1531309805776,2984,7.0344803324164555
1531309805777,1531309865776,2952,7.051483810111553
1531309865777,1531309925776,3017,7.048282945926305
1531309925777,1531309985776,2940,7.036009822447645
1531309985777,1531310045776,2981,7.073761428654622
1531310045777,1531310105776,2958,7.056008292575594
1531310105777,1531310165776,2949,7.088194486991768
1531310165777,1531310225776,2993,7.076759357948205
1531310225777,1531310285776,2990,7.10478866587883
1531310285777,1531310345776,2958,7.107077340667352
1531310345777,1531310405776,2979,7.125430443453983
1531310405777,1531310465776,2955,7.108539900045258
1531310465777,1531310525776,2979,7.126569713255237
1531310525777,1531310585776,2931,7.131531884733798
1531310585777,1531310645776,2967,7.158611431590389
1531310645777,1531310705776,2952,7.154482094541925
1531310705777,1531310765776,2979,7.173910456957006
1531310765777,1531310825776,2973,7.177124261119707
1531310825777,1531310885776,2974,7.17797022574151
1531310885777,1531310945776,2946,7.186746444938097
1531310945777,1531311005776,2972,7.191261278382899
1531311005777,1531311065776,2972,7.20172758691328
1531311065777,1531311125776,2946,7.212642642445363
1531311125777,1531311185776,3016,7.222402164815262
1531311185777,1531311245776,2953,7.189760746269658
1531311245777,1531311305776,2955,7.24656573711211
1531311305777,1531311365776,2978,7.2441594071171815
1531311365777,1531311425776,2964,7.251029599414936
1531311425777,1531311485776,2975,7.281793736386441
1531311485777,1531311545776,3008,7.266583245203265
1531311545777,1531311605776,2939,7.240114496689508
1531311605777,1531311665776,2986,7.299953187641976
1531311665777,1531311725776,2948,7.297573113721925
1531311725777,1531311785776,2995,7.315576653035804
1531311785777,1531311845776,2972,7.326495739919201
1531311845777,1531311905776,2988,7.338448946346789
1531311905777,1531311965776,2980,7.325511913958831
1531311965777,1531312025776,2953,7.328583180563431
1531312025777,1531312085776,2926,7.325819579794483
1531312085777,1531312145776,2992,7.339510772181599
1531312145777,1531312205776,2928,7.358851899185046
1531312205777,1531312265776,2930,7.3493231632457094
1531312265777,1531312325776,2933,7.360833833614605
1531312325777,1531312385776,87,7.1996863090614065
