Start Time,End Time,Number of Responses,Average Value
1530874676749,1530874736748,0,NaN
1530874736749,1530874796748,0,NaN
1530874796749,1530874856748,0,NaN
1530874856749,1530874916748,2,5.5891922078959775
1530874916749,1530874976748,1,12.339798967141947
1530874976749,1530875036748,102,7.385538769512432
1530875036749,1530875096748,98,7.36335088605199
1530875096749,1530875156748,99,7.370660451998674
1530875156749,1530875216748,99,7.380819967578942
1530875216749,1530875276748,98,7.332183805669629
1530875276749,1530875336748,98,7.378887057512932
1530875336749,1530875396748,98,7.421952853231899
1530875396749,1530875456748,7,7.5272895980585615
