[2018-06-22 12:27:15,949] DEBUG - Main - App launched
[2018-06-22 12:27:17,085] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 12:27:17,423] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 12:27:17,640] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 12:27:18,175] INFO - SqsClient - Destroying queue eventprocessing at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 13:56:28,707] DEBUG - Main - App launched
[2018-06-22 13:56:29,891] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 13:56:30,376] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 13:56:30,536] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 13:57:36,535] DEBUG - Main - App launched
[2018-06-22 13:57:37,719] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 13:57:38,326] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 13:57:38,732] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 13:57:38,759] ERROR - SnSClient - Unable to create AmazonSNSClient
[2018-06-22 13:57:38,759] ERROR - SnSClient - Could not find region information for 'null' in SDK metadata.
[2018-06-22 14:03:40,743] DEBUG - Main - App launched
[2018-06-22 14:03:41,786] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:03:42,222] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:03:42,374] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:04:28,351] DEBUG - Main - App launched
[2018-06-22 14:04:29,446] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:04:29,754] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:04:30,103] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:05:12,792] DEBUG - Main - App launched
[2018-06-22 14:05:13,929] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:05:14,253] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:05:14,394] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:06:01,409] DEBUG - Main - App launched
[2018-06-22 14:06:02,550] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:06:02,850] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:06:02,957] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:07:35,995] DEBUG - Main - App launched
[2018-06-22 14:07:37,112] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:07:37,459] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:07:37,590] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:19:09,228] DEBUG - Main - App launched
[2018-06-22 14:19:10,300] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:19:10,657] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:19:10,988] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:19:41,798] DEBUG - Main - App launched
[2018-06-22 14:19:42,889] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:19:43,386] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:19:43,490] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:21:54,392] DEBUG - Main - App launched
[2018-06-22 14:21:55,694] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:21:56,032] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:21:56,166] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:25:16,444] DEBUG - Main - App launched
[2018-06-22 14:25:17,521] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:25:17,870] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:25:17,972] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:25:59,741] DEBUG - Main - App launched
